Datetime,SAUXX,TURXX,INDXX,CHNXX
01/01/2015 00:00,0.419002771,0.126264544,0.075778214,0.217043631
01/01/2015 01:00,0.408932162,0.135724185,0.075396824,0.194321809
01/01/2015 02:00,0.398940599,0.134486082,0.073664555,0.165945376
01/01/2015 03:00,0.390354309,0.139702834,0.059623043,0.161500737
01/01/2015 04:00,0.382510798,0.146865306,0.037018962,0.160341736
01/01/2015 05:00,0.372168662,0.145619129,0.033856438,0.162711252
01/01/2015 06:00,0.329008953,0.143214738,0.031740138,0.175217502
01/01/2015 07:00,0.274938126,0.135266332,0.03026271,0.188920425
01/01/2015 08:00,0.299950174,0.134045655,0.031342584,0.20937659
01/01/2015 09:00,0.333770301,0.145464619,0.035882469,0.25071252
01/01/2015 10:00,0.374076144,0.181122445,0.043342322,0.282977266
01/01/2015 11:00,0.397550169,0.205701816,0.055873773,0.309415366
01/01/2015 12:00,0.411736904,0.219611689,0.082692633,0.318419753
01/01/2015 13:00,0.422061678,0.221353902,0.114848018,0.322758715
01/01/2015 14:00,0.433560273,0.218460991,0.132104832,0.326527981
01/01/2015 15:00,0.44726747,0.223806243,0.140038628,0.327711209
01/01/2015 16:00,0.456675734,0.223703863,0.138565216,0.330424476
01/01/2015 17:00,0.458978372,0.218057098,0.137011702,0.336607809
01/01/2015 18:00,0.454713291,0.210008184,0.132182548,0.34820149
01/01/2015 19:00,0.456274052,0.203919402,0.129838173,0.360400333
01/01/2015 20:00,0.458455915,0.197408027,0.125367339,0.374943685
01/01/2015 21:00,0.463645551,0.190959114,0.119306083,0.38678664
01/01/2015 22:00,0.460437193,0.19365044,0.109533406,0.386204506
01/01/2015 23:00,0.461900008,0.192046448,0.103427401,0.398927408
02/01/2015 00:00,0.469520855,0.187271414,0.099852499,0.410441498
02/01/2015 01:00,0.47361166,0.18519264,0.098205117,0.396395588
02/01/2015 02:00,0.475394737,0.185632371,0.099234932,0.37324822
02/01/2015 03:00,0.473299978,0.191000025,0.081390116,0.376358453
02/01/2015 04:00,0.466242195,0.194457757,0.05670103,0.379412169
02/01/2015 05:00,0.448750912,0.198943325,0.052993639,0.385043423
02/01/2015 06:00,0.391630666,0.206770803,0.049890951,0.404884073
02/01/2015 07:00,0.390207007,0.210453488,0.046138255,0.422446761
02/01/2015 08:00,0.391498726,0.217153202,0.045401722,0.442719382
02/01/2015 09:00,0.360255012,0.212813204,0.047634113,0.468043331
02/01/2015 10:00,0.350967033,0.247601803,0.044562325,0.475465699
02/01/2015 11:00,0.329875721,0.260486574,0.053890485,0.498582589
02/01/2015 12:00,0.31502366,0.261344053,0.079669184,0.512073946
02/01/2015 13:00,0.308855717,0.246365671,0.113276592,0.523980974
02/01/2015 14:00,0.301954716,0.220362412,0.13767786,0.529032034
02/01/2015 15:00,0.326958343,0.18726422,0.148703617,0.527688571
02/01/2015 16:00,0.367657692,0.16271927,0.153063811,0.526553792
02/01/2015 17:00,0.403556846,0.1460952,0.154163531,0.529161265
02/01/2015 18:00,0.422736428,0.143847968,0.154327051,0.532398733
02/01/2015 19:00,0.433176343,0.147164256,0.155241909,0.534209546
02/01/2015 20:00,0.443182785,0.150045418,0.154785358,0.541034238
02/01/2015 21:00,0.453804514,0.155918828,0.151564559,0.544818437
02/01/2015 22:00,0.493000118,0.168743679,0.144133391,0.530427419
02/01/2015 23:00,0.489965365,0.174795089,0.14212229,0.534503456
03/01/2015 00:00,0.489754521,0.175523975,0.137814025,0.529522853
03/01/2015 01:00,0.488575578,0.176749271,0.132254185,0.503973833
03/01/2015 02:00,0.482014447,0.184069687,0.125599266,0.477429923
03/01/2015 03:00,0.471985175,0.191747453,0.098392719,0.470673249
03/01/2015 04:00,0.469056385,0.205795199,0.07601541,0.463177894
03/01/2015 05:00,0.448661576,0.227733222,0.070802341,0.457270296
03/01/2015 06:00,0.368987703,0.253556333,0.067977507,0.461658329
03/01/2015 07:00,0.363886144,0.278481957,0.061622058,0.471110311
03/01/2015 08:00,0.382265524,0.261431654,0.059648112,0.48483343
03/01/2015 09:00,0.361031378,0.28405587,0.060935863,0.497407877
03/01/2015 10:00,0.315859637,0.305799168,0.055796112,0.480357578
03/01/2015 11:00,0.292006496,0.333836244,0.059093158,0.489471412
03/01/2015 12:00,0.278271221,0.334440692,0.073661157,0.498096108
03/01/2015 13:00,0.275515892,0.313844478,0.094868011,0.499276026
03/01/2015 14:00,0.27894978,0.307156962,0.111753507,0.497738184
03/01/2015 15:00,0.30570715,0.299131713,0.121524328,0.488998554
03/01/2015 16:00,0.334225915,0.297915193,0.124540016,0.478011089
03/01/2015 17:00,0.361427265,0.300377562,0.125963852,0.471549038
03/01/2015 18:00,0.377963567,0.292961279,0.122044388,0.463721864
03/01/2015 19:00,0.390657259,0.283544058,0.119637885,0.458232838
03/01/2015 20:00,0.399335326,0.277926649,0.11592941,0.456470801
03/01/2015 21:00,0.398747565,0.271280175,0.111789126,0.453501182
03/01/2015 22:00,0.400552519,0.274392277,0.105656936,0.427721363
03/01/2015 23:00,0.395554578,0.27510739,0.100289381,0.424342787
04/01/2015 00:00,0.391672991,0.27172041,0.096717464,0.419285111
04/01/2015 01:00,0.386189737,0.264371108,0.092434866,0.395922156
04/01/2015 02:00,0.384815615,0.261040268,0.088987454,0.366328375
04/01/2015 03:00,0.386970551,0.260349087,0.073203505,0.351963522
04/01/2015 04:00,0.390439099,0.263724928,0.06195097,0.345818558
04/01/2015 05:00,0.39121453,0.266793603,0.059602965,0.334694193
04/01/2015 06:00,0.352232505,0.264096422,0.055331718,0.333906366
04/01/2015 07:00,0.343704505,0.26009376,0.04738535,0.338071244
04/01/2015 08:00,0.382165788,0.255038774,0.043078518,0.355680659
04/01/2015 09:00,0.417430725,0.269538281,0.043750788,0.374251746
04/01/2015 10:00,0.453877071,0.311680394,0.046610217,0.365437015
04/01/2015 11:00,0.472737628,0.316352787,0.052286532,0.37882327
04/01/2015 12:00,0.482415659,0.314677215,0.063786748,0.388579583
04/01/2015 13:00,0.486159517,0.311355171,0.082863868,0.392527219
04/01/2015 14:00,0.474326588,0.315659956,0.09798084,0.393913766
04/01/2015 15:00,0.473630904,0.327664295,0.108586372,0.389968543
04/01/2015 16:00,0.497450552,0.345250397,0.111737759,0.386342544
04/01/2015 17:00,0.530605118,0.353297879,0.110989371,0.379449572
04/01/2015 18:00,0.555131458,0.358738808,0.109625732,0.371658308
04/01/2015 19:00,0.563370406,0.356556134,0.104732733,0.367170733
04/01/2015 20:00,0.557772542,0.352160408,0.102104493,0.366355791
04/01/2015 21:00,0.549503752,0.34122297,0.095625834,0.359484541
04/01/2015 22:00,0.540044286,0.340287379,0.08315315,0.34424921
04/01/2015 23:00,0.531069091,0.326314829,0.080496161,0.3400634
05/01/2015 00:00,0.510628781,0.315022352,0.080243176,0.334597032
05/01/2015 01:00,0.50081766,0.296898702,0.07758901,0.318612538
05/01/2015 02:00,0.485134399,0.285187836,0.075398762,0.283471399
05/01/2015 03:00,0.46651286,0.279554699,0.060878863,0.270443203
05/01/2015 04:00,0.449187174,0.292050664,0.0458354,0.25890713
05/01/2015 05:00,0.423530521,0.294189654,0.046087635,0.252617964
05/01/2015 06:00,0.355415463,0.290962821,0.042626485,0.257055445
05/01/2015 07:00,0.310350217,0.276411403,0.037037399,0.26318701
05/01/2015 08:00,0.330891187,0.263365667,0.037740811,0.282908179
05/01/2015 09:00,0.34711572,0.2792886,0.041594325,0.310895237
05/01/2015 10:00,0.370154551,0.264838671,0.036536719,0.30897433
05/01/2015 11:00,0.391183954,0.264208188,0.044195794,0.322629413
05/01/2015 12:00,0.402629275,0.249221907,0.064126584,0.326558043
05/01/2015 13:00,0.398090393,0.229701971,0.089829414,0.326732992
05/01/2015 14:00,0.37849121,0.217200148,0.107113292,0.327306336
05/01/2015 15:00,0.359696067,0.212599413,0.11690375,0.32593267
05/01/2015 16:00,0.363185261,0.197363022,0.116828191,0.31910418
05/01/2015 17:00,0.371837009,0.177827547,0.115974756,0.316100475
05/01/2015 18:00,0.388449428,0.157975522,0.110583193,0.313673374
05/01/2015 19:00,0.40081951,0.13956226,0.107497677,0.308986317
05/01/2015 20:00,0.416788788,0.13158321,0.104408929,0.309890905
05/01/2015 21:00,0.426019659,0.128142982,0.102429213,0.305990771
05/01/2015 22:00,0.426227576,0.124524904,0.084927131,0.29078543
05/01/2015 23:00,0.432486944,0.11709834,0.08235288,0.295609675
06/01/2015 00:00,0.430665824,0.106385961,0.081656398,0.295841138
06/01/2015 01:00,0.432674619,0.097252991,0.079403064,0.275522146
06/01/2015 02:00,0.423713959,0.087261522,0.078539189,0.238298402
06/01/2015 03:00,0.412820536,0.083524278,0.061605696,0.223020904
06/01/2015 04:00,0.397961566,0.081394004,0.041980514,0.21792467
06/01/2015 05:00,0.372609898,0.084236099,0.040539213,0.216512297
06/01/2015 06:00,0.295249073,0.089636546,0.039910489,0.225922839
06/01/2015 07:00,0.232160474,0.089468423,0.041949165,0.24338288
06/01/2015 08:00,0.23818119,0.075409246,0.048335589,0.27319192
06/01/2015 09:00,0.232014811,0.070427263,0.05567167,0.299485444
06/01/2015 10:00,0.205476888,0.081216797,0.052414742,0.310911345
06/01/2015 11:00,0.210941373,0.088373286,0.060117814,0.329255714
06/01/2015 12:00,0.218836848,0.08674078,0.075576236,0.341290868
06/01/2015 13:00,0.225353238,0.086498588,0.096558651,0.347756145
06/01/2015 14:00,0.230647812,0.090883435,0.109553673,0.352077169
06/01/2015 15:00,0.244276535,0.094038855,0.117496668,0.351411432
06/01/2015 16:00,0.268238638,0.087664853,0.116074169,0.349687665
06/01/2015 17:00,0.292228503,0.083943749,0.113392722,0.344721696
06/01/2015 18:00,0.303618378,0.084183112,0.10966955,0.338729273
06/01/2015 19:00,0.303602728,0.088139983,0.108171269,0.335478144
06/01/2015 20:00,0.30789898,0.092954809,0.110365444,0.337151216
06/01/2015 21:00,0.314822832,0.098789912,0.110520429,0.337297181
06/01/2015 22:00,0.337496168,0.109415232,0.106700413,0.344845689
06/01/2015 23:00,0.352532491,0.109430435,0.102232706,0.338524423
07/01/2015 00:00,0.362018417,0.110466089,0.102260583,0.335350886
07/01/2015 01:00,0.375674683,0.113614828,0.099856587,0.32682621
07/01/2015 02:00,0.385279043,0.12040693,0.099979445,0.297687083
07/01/2015 03:00,0.385866852,0.127475916,0.079788774,0.293342021
07/01/2015 04:00,0.389464667,0.134468397,0.049129982,0.31020288
07/01/2015 05:00,0.389422584,0.142231346,0.047657588,0.327102295
07/01/2015 06:00,0.32159965,0.149916359,0.050376795,0.344577116
07/01/2015 07:00,0.287120493,0.147480955,0.054247237,0.358837596
07/01/2015 08:00,0.310207627,0.123506841,0.061038214,0.378845184
07/01/2015 09:00,0.319916606,0.103600093,0.067413567,0.395523964
07/01/2015 10:00,0.334196424,0.109566414,0.070912773,0.413899446
07/01/2015 11:00,0.347538286,0.110574422,0.076519822,0.428493995
07/01/2015 12:00,0.368846538,0.11002696,0.09106502,0.447628504
07/01/2015 13:00,0.398273415,0.10656744,0.111557966,0.466812667
07/01/2015 14:00,0.436546657,0.108621822,0.125245186,0.483800036
07/01/2015 15:00,0.503612113,0.099396506,0.130807664,0.497410064
07/01/2015 16:00,0.584578478,0.085579021,0.129016795,0.502787924
07/01/2015 17:00,0.642554418,0.078687222,0.126312909,0.50388518
07/01/2015 18:00,0.676723995,0.073123026,0.124324339,0.502495278
07/01/2015 19:00,0.69379524,0.073494744,0.123214025,0.504007627
07/01/2015 20:00,0.704779089,0.074069024,0.12513832,0.506928608
07/01/2015 21:00,0.711519455,0.073155913,0.12433259,0.509169809
07/01/2015 22:00,0.728905178,0.077130551,0.117565191,0.501167312
07/01/2015 23:00,0.722786786,0.072411441,0.118577807,0.512100232
08/01/2015 00:00,0.722293686,0.071574978,0.120461311,0.519968306
08/01/2015 01:00,0.718141259,0.07217535,0.12312425,0.515609346
08/01/2015 02:00,0.710545512,0.071922052,0.122866044,0.5162205
08/01/2015 03:00,0.697654938,0.071742183,0.101065006,0.518577674
08/01/2015 04:00,0.678011703,0.072075546,0.076650085,0.528236209
08/01/2015 05:00,0.639430987,0.074795983,0.081344509,0.542742841
08/01/2015 06:00,0.556166559,0.083436839,0.08188022,0.559260344
08/01/2015 07:00,0.586400616,0.092926341,0.073516366,0.571906289
08/01/2015 08:00,0.590097204,0.079083161,0.068011324,0.578481428
08/01/2015 09:00,0.561077692,0.064971931,0.064279379,0.572868621
08/01/2015 10:00,0.528113946,0.081014432,0.066589902,0.549187579
08/01/2015 11:00,0.510823189,0.087869006,0.072159921,0.567580481
08/01/2015 12:00,0.508124671,0.085831841,0.087234321,0.583767994
08/01/2015 13:00,0.50962465,0.080858249,0.109761039,0.594728152
08/01/2015 14:00,0.498638128,0.090097541,0.1306854,0.599032646
08/01/2015 15:00,0.508017748,0.084964428,0.146383641,0.598830344
08/01/2015 16:00,0.533770741,0.086416898,0.154661914,0.59635284
08/01/2015 17:00,0.55689812,0.086767868,0.157075443,0.591144896
08/01/2015 18:00,0.57156489,0.085379296,0.152693725,0.583142318
08/01/2015 19:00,0.568923152,0.084327315,0.152106791,0.571379786
08/01/2015 20:00,0.575919676,0.083563048,0.153811426,0.565386501
08/01/2015 21:00,0.580732973,0.083034258,0.156793005,0.559846306
08/01/2015 22:00,0.617329678,0.091440288,0.157311701,0.535278902
08/01/2015 23:00,0.613443042,0.093085784,0.160050671,0.537454808
09/01/2015 00:00,0.611669621,0.094165273,0.157335539,0.53990246
09/01/2015 01:00,0.601748828,0.092588894,0.154905444,0.520852014
09/01/2015 02:00,0.59476166,0.086685534,0.152380398,0.507659011
09/01/2015 03:00,0.579092005,0.078284817,0.128073057,0.52638056
09/01/2015 04:00,0.557954252,0.072775906,0.109026567,0.547124017
09/01/2015 05:00,0.520844489,0.069520122,0.110235676,0.564390865
09/01/2015 06:00,0.399167607,0.071676935,0.107177694,0.578887276
