CUSTOM_NODE,FUEL_TYPE,START_YEAR,END_YEAR,CAPACITY
ZAFXX,SPV,2022,2052,1.1
ZAFXX,SPV,2020,2050,1.3
ZAFXX,SPV,2019,2049,1.1
ZAFXX,SPV,2019,2049,1.3
ZAFXX,SPV,2023,2053,12.6
ZAFXX,SPV,2023,2053,15.8
ZAFXX,SPV,2021,2051,2.2
ZAFXX,SPV,2021,2051,55
ZAFXX,SPV,2014,2044,11
ZAFXX,SPV,2023,2053,30
ZAFXX,SPV,2022,2052,6.5
ZAFXX,SPV,2014,2044,20
ZAFXX,SPV,2018,2048,100
ZAFXX,SPV,2014,2044,96
ZAFXX,SPV,2020,2050,2.2
ZAFXX,SPV,2018,2048,1.2
ZAFXX,SPV,2020,2050,1.4
ZAFXX,SPV,2013,2043,75
ZAFXX,SPV,2014,2044,73.8
ZAFXX,SPV,2018,2048,100
ZAFXX,SPV,2015,2045,100
ZAFXX,SPV,2024,2054,180
ZAFXX,SPV,2024,2054,180
ZAFXX,SPV,2024,2054,180
ZAFXX,SPV,2016,2046,50
ZAFXX,SPV,2021,2051,1.3
ZAFXX,SPV,2014,2044,9.6
ZAFXX,SPV,2019,2049,86
ZAFXX,SPV,2021,2051,1.4
ZAFXX,SPV,2023,2053,1.6
ZAFXX,SPV,2023,2053,1
ZAFXX,WON,2016,2046,134
ZAFXX,WON,2025,2055,144
ZAFXX,WON,2025,2055,89
ZAFXX,WON,2015,2045,22
ZAFXX,WON,2025,2055,140
ZAFXX,WON,2014,2044,139
ZAFXX,WON,2021,2051,102
ZAFXX,WON,2014,2044,27
ZAFXX,WON,2012,2042,100
ZAFXX,WON,2020,2050,32
ZAFXX,WON,2018,2048,145
ZAFXX,WON,2017,2047,111
ZAFXX,WON,2018,2048,120
ZAFXX,WON,2015,2045,138
ZAFXX,WON,2014,2044,62
ZAFXX,WON,2011,2041,138
ZAFXX,WON,2020,2050,140
ZAFXX,WON,2022,2052,140
ZAFXX,WON,2017,2047,140
ZAFXX,WON,2015,2045,80
ZAFXX,WON,2017,2047,140
ZAFXX,WON,2017,2047,138
ZAFXX,WON,2017,2047,96
ZAFXX,WON,2017,2047,139
ZAFXX,WON,2014,2044,27
ZAFXX,WON,2026,2056,155
ZAFXX,WON,2024,2054,69
ZAFXX,WON,2014,2044,74
ZAFXX,WON,2016,2046,88
ZAFXX,WON,2016,2046,80
ZAFXX,WON,2020,2050,139
ZAFXX,WON,2021,2051,148
ZAFXX,WON,2021,2051,110
ZAFXX,WON,2025,2055,140
ZAFXX,WON,2025,2055,144
ZAFXX,WON,2022,2052,147
ZAFXX,WON,2025,2055,140
ZAFXX,WON,2015,2045,100
ZAFXX,WON,2021,2051,139
ZAFXX,WON,2026,2056,140
ZAFXX,WON,2016,2046,95
ZAFXX,WON,2014,2044,67
ZAFXX,WON,2014,2044,27
ZAFXX,WON,2026,2056,140
ZAFXX,WON,2016,2046,25
ZAFXX,WON,2021,2051,34
ZAFXX,WON,2015,2045,94
ZAFXX,WON,2025,2055,84
ZAFXX,URN,1984,2044,970
ZAFXX,URN,1985,2045,970
ZAFXX,COA,2023,2073,370
ZAFXX,COA,2023,2073,390
ZAFXX,COA,2023,2073,396
ZAFXX,COA,1973,2023,396
ZAFXX,COA,1974,2024,400
ZAFXX,COA,1975,2025,400
ZAFXX,COA,2023,2073,200
ZAFXX,COA,2023,2073,200
ZAFXX,COA,2023,2073,200
ZAFXX,COA,2023,2073,200
ZAFXX,COA,2023,2073,200
ZAFXX,COA,2023,2073,200
ZAFXX,COA,2023,2073,200
ZAFXX,COA,2023,2073,200
ZAFXX,COA,1980,2030,600
ZAFXX,COA,1980,2030,600
ZAFXX,COA,1982,2032,600
ZAFXX,COA,1983,2033,600
ZAFXX,COA,1984,2034,600
ZAFXX,COA,1973,2023,200
ZAFXX,COA,2023,2073,200
ZAFXX,COA,2023,2073,200
ZAFXX,COA,1977,2027,200
ZAFXX,COA,2023,2073,200
ZAFXX,COA,2023,2073,200
ZAFXX,COA,2023,2073,200
ZAFXX,COA,1973,2023,200
ZAFXX,COA,1974,2024,200
ZAFXX,COA,2023,2073,60
ZAFXX,COA,2023,2073,60
ZAFXX,COA,2023,2073,60
ZAFXX,COA,2023,2073,60
ZAFXX,COA,2023,2073,60
ZAFXX,COA,2023,2073,60
ZAFXX,COA,2023,2073,60
ZAFXX,COA,1988,2038,686
ZAFXX,COA,1989,2039,686
ZAFXX,COA,1990,2040,686
ZAFXX,COA,1991,2041,686
ZAFXX,COA,1992,2042,686
ZAFXX,COA,1993,2043,686
ZAFXX,COA,1976,2026,500
ZAFXX,COA,1976,2026,500
ZAFXX,COA,1977,2027,500
ZAFXX,COA,1978,2028,500
ZAFXX,COA,1979,2029,500
ZAFXX,COA,1979,2029,500
ZAFXX,COA,2018,2068,800
ZAFXX,COA,2020,2070,800
ZAFXX,COA,2021,2071,800
ZAFXX,COA,2022,2072,800
ZAFXX,COA,2024,2074,800
ZAFXX,COA,2025,2075,800
ZAFXX,COA,1985,2035,618
ZAFXX,COA,1986,2036,618
ZAFXX,COA,1987,2037,618
ZAFXX,COA,1987,2037,618
ZAFXX,COA,1989,2039,618
ZAFXX,COA,1990,2040,618
ZAFXX,COA,1996,2046,665
ZAFXX,COA,1997,2047,665
ZAFXX,COA,1998,2048,665
