Datetime,SAUXX,TURXX,INDXX,CHNHK,CHNMA ,CHNAN ,CHNBE,CHNCH,CHNFU,CHNGA,CHNGD,CHNGX,CHNGU,CHNHA,CHNHB,CHNHJ,CHNHE,CHNHU,CHNHN,CHNWM,CHNEM,CHNJS,CHNJX,CHNJI,CHNLI,CHNNI,CHNQI,CHNSI,CHNSD,CHNSH,CHNSX,CHNSC,CHNTJ,CHNTI,CHNXI,CHNYU,CHNZH
01/01/2015 11:00,0.471311306,0.29520434,0.185489264,0.560547846,0.560547846,0.560547846,0.560547846,0.560547846,0.560547846,0.560547846,0.560547846,0.560547846,0.560547846,0.560547846,0.560547846,0.560547846,0.560547846,0.560547846,0.560547846,0.560547846,0.560547846,0.560547846,0.560547846,0.560547846,0.560547846,0.560547846,0.560547846,0.560547846,0.560547846,0.560547846,0.560547846,0.560547846,0.560547846,0.560547846,0.560547846,0.560547846,0.560547846
01/01/2015 12:00,0.428256029,0.288309912,0.216952719,0.579144412,0.579144412,0.579144412,0.579144412,0.579144412,0.579144412,0.579144412,0.579144412,0.579144412,0.579144412,0.579144412,0.579144412,0.579144412,0.579144412,0.579144412,0.579144412,0.579144412,0.579144412,0.579144412,0.579144412,0.579144412,0.579144412,0.579144412,0.579144412,0.579144412,0.579144412,0.579144412,0.579144412,0.579144412,0.579144412,0.579144412,0.579144412,0.579144412,0.579144412
01/01/2015 13:00,0.391307014,0.292353467,0.238876268,0.588428772,0.588428772,0.588428772,0.588428772,0.588428772,0.588428772,0.588428772,0.588428772,0.588428772,0.588428772,0.588428772,0.588428772,0.588428772,0.588428772,0.588428772,0.588428772,0.588428772,0.588428772,0.588428772,0.588428772,0.588428772,0.588428772,0.588428772,0.588428772,0.588428772,0.588428772,0.588428772,0.588428772,0.588428772,0.588428772,0.588428772,0.588428772,0.588428772,0.588428772
01/01/2015 14:00,0.263944282,0.29634715,0.250617809,0.597465136,0.597465136,0.597465136,0.597465136,0.597465136,0.597465136,0.597465136,0.597465136,0.597465136,0.597465136,0.597465136,0.597465136,0.597465136,0.597465136,0.597465136,0.597465136,0.597465136,0.597465136,0.597465136,0.597465136,0.597465136,0.597465136,0.597465136,0.597465136,0.597465136,0.597465136,0.597465136,0.597465136,0.597465136,0.597465136,0.597465136,0.597465136,0.597465136,0.597465136
01/01/2015 15:00,0,0.296523459,0.253328599,0.620155606,0.620155606,0.620155606,0.620155606,0.620155606,0.620155606,0.620155606,0.620155606,0.620155606,0.620155606,0.620155606,0.620155606,0.620155606,0.620155606,0.620155606,0.620155606,0.620155606,0.620155606,0.620155606,0.620155606,0.620155606,0.620155606,0.620155606,0.620155606,0.620155606,0.620155606,0.620155606,0.620155606,0.620155606,0.620155606,0.620155606,0.620155606,0.620155606,0.620155606
01/01/2015 16:00,0,0.310008835,0.250781366,0.632141992,0.632141992,0.632141992,0.632141992,0.632141992,0.632141992,0.632141992,0.632141992,0.632141992,0.632141992,0.632141992,0.632141992,0.632141992,0.632141992,0.632141992,0.632141992,0.632141992,0.632141992,0.632141992,0.632141992,0.632141992,0.632141992,0.632141992,0.632141992,0.632141992,0.632141992,0.632141992,0.632141992,0.632141992,0.632141992,0.632141992,0.632141992,0.632141992,0.632141992
01/01/2015 17:00,0,0.31989697,0.247174428,0.648168371,0.648168371,0.648168371,0.648168371,0.648168371,0.648168371,0.648168371,0.648168371,0.648168371,0.648168371,0.648168371,0.648168371,0.648168371,0.648168371,0.648168371,0.648168371,0.648168371,0.648168371,0.648168371,0.648168371,0.648168371,0.648168371,0.648168371,0.648168371,0.648168371,0.648168371,0.648168371,0.648168371,0.648168371,0.648168371,0.648168371,0.648168371,0.648168371,0.648168371
01/01/2015 18:00,0,0.30449962,0.230200199,0.662499049,0.662499049,0.662499049,0.662499049,0.662499049,0.662499049,0.662499049,0.662499049,0.662499049,0.662499049,0.662499049,0.662499049,0.662499049,0.662499049,0.662499049,0.662499049,0.662499049,0.662499049,0.662499049,0.662499049,0.662499049,0.662499049,0.662499049,0.662499049,0.662499049,0.662499049,0.662499049,0.662499049,0.662499049,0.662499049,0.662499049,0.662499049,0.662499049,0.662499049
01/01/2015 19:00,0,0.26828817,0.221594395,0.677029016,0.677029016,0.677029016,0.677029016,0.677029016,0.677029016,0.677029016,0.677029016,0.677029016,0.677029016,0.677029016,0.677029016,0.677029016,0.677029016,0.677029016,0.677029016,0.677029016,0.677029016,0.677029016,0.677029016,0.677029016,0.677029016,0.677029016,0.677029016,0.677029016,0.677029016,0.677029016,0.677029016,0.677029016,0.677029016,0.677029016,0.677029016,0.677029016,0.677029016
01/01/2015 20:00,0,0.252463118,0.220193197,0.684837703,0.684837703,0.684837703,0.684837703,0.684837703,0.684837703,0.684837703,0.684837703,0.684837703,0.684837703,0.684837703,0.684837703,0.684837703,0.684837703,0.684837703,0.684837703,0.684837703,0.684837703,0.684837703,0.684837703,0.684837703,0.684837703,0.684837703,0.684837703,0.684837703,0.684837703,0.684837703,0.684837703,0.684837703,0.684837703,0.684837703,0.684837703,0.684837703,0.684837703
01/01/2015 21:00,0,0.246690514,0.232044752,0.694131704,0.694131704,0.694131704,0.694131704,0.694131704,0.694131704,0.694131704,0.694131704,0.694131704,0.694131704,0.694131704,0.694131704,0.694131704,0.694131704,0.694131704,0.694131704,0.694131704,0.694131704,0.694131704,0.694131704,0.694131704,0.694131704,0.694131704,0.694131704,0.694131704,0.694131704,0.694131704,0.694131704,0.694131704,0.694131704,0.694131704,0.694131704,0.694131704,0.694131704
01/01/2015 22:00,0,0.181877347,0.233373584,0.660953779,0.660953779,0.660953779,0.660953779,0.660953779,0.660953779,0.660953779,0.660953779,0.660953779,0.660953779,0.660953779,0.660953779,0.660953779,0.660953779,0.660953779,0.660953779,0.660953779,0.660953779,0.660953779,0.660953779,0.660953779,0.660953779,0.660953779,0.660953779,0.660953779,0.660953779,0.660953779,0.660953779,0.660953779,0.660953779,0.660953779,0.660953779,0.660953779,0.660953779
