CUSTOM_NODE,FUEL_TYPE,START_YEAR,END_YEAR,CAPACITY
AGOXX,HYD,1962,2062,180
AGOXX,HYD,2017,2117,700
AGOXX,HYD,2004,2104,520
AGOXX,HYD,2017,2117,2070
AGOXX,OIL,2012,2042,125
AGOXX,OIL,2018,2048,84
AGOXX,OIL,2017,2047,360
AGOXX,OIL,2017,2047,360
AGOXX,SPV,2022,2052,188.8
AGOXX,SPV,2022,2052,96.7
AGOXX,HYD,2026,2126,2172
AGOXX,CCG,2025,2055,500
AGOXX,SPV,2024,2054,26.91
